::1 - - [05/Nov/2024:23:18:52 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/javascrpit/script.js HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:19:01 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/index.php HTTP/1.1" 200 878
::1 - - [05/Nov/2024:23:19:01 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/css/styles.css HTTP/1.1" 200 921
::1 - - [05/Nov/2024:23:19:01 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/javascrpit/script.js HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:25:39 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/index.php HTTP/1.1" 200 1107
::1 - - [05/Nov/2024:23:25:39 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/css/styles.css HTTP/1.1" 200 1141
::1 - - [05/Nov/2024:23:25:39 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/javascrpit/script.js HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:26:30 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/index.php HTTP/1.1" 200 1107
::1 - - [05/Nov/2024:23:26:30 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/css/styles.css HTTP/1.1" 304 -
::1 - - [05/Nov/2024:23:26:30 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/javascrpit/script.js HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:26:31 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/index.php HTTP/1.1" 200 1107
::1 - - [05/Nov/2024:23:26:31 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/javascrpit/script.js HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:26:35 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/index.php HTTP/1.1" 200 1107
::1 - - [05/Nov/2024:23:26:35 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/javascrpit/script.js HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:26:37 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/index.php HTTP/1.1" 200 1107
::1 - - [05/Nov/2024:23:26:37 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/css/styles.css HTTP/1.1" 200 1141
::1 - - [05/Nov/2024:23:26:37 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/javascrpit/script.js HTTP/1.1" 404 196
